"model.id","tissue","tissue.name","patient.id","drug"
"X.0933.5FFU","X.0933.5FFU","CRC","Colorectal Cancer","X-0933","5FU"
"X.0933.biib","X.0933.biib","CRC","Colorectal Cancer","X-0933","binimetinib"
"X.0933.BK20","X.0933.BK20","CRC","Colorectal Cancer","X-0933","BKM120"
"X.0933.BK20.LJ49","X.0933.BK20.LJ49","CRC","Colorectal Cancer","X-0933","BKM120 + LJC049"
"X.0933.BY19","X.0933.BY19","CRC","Colorectal Cancer","X-0933","BYL719"
"X.0933.BY19.biib","X.0933.BY19.biib","CRC","Colorectal Cancer","X-0933","BYL719 + binimetinib"
"X.0933.BY19.ceab","X.0933.BY19.ceab","CRC","Colorectal Cancer","X-0933","BYL719 + cetuximab"
"X.0933.BY19.ceab.enib","X.0933.BY19.ceab.enib","CRC","Colorectal Cancer","X-0933","BYL719 + cetuximab + encorafenib"
"X.0933.BY19.enib","X.0933.BY19.enib","CRC","Colorectal Cancer","X-0933","BYL719 + encorafenib"
"X.0933.BY19.LJ16","X.0933.BY19.LJ16","CRC","Colorectal Cancer","X-0933","BYL719 + LJM716"
"X.0933.ceab","X.0933.ceab","CRC","Colorectal Cancer","X-0933","cetuximab"
"X.0933.ceab.enib","X.0933.ceab.enib","CRC","Colorectal Cancer","X-0933","cetuximab + encorafenib"
"X.0933.CG97","X.0933.CG97","CRC","Colorectal Cancer","X-0933","CGM097"
"X.0933.CK20","X.0933.CK20","CRC","Colorectal Cancer","X-0933","CKX620"
"X.0933.CL57","X.0933.CL57","CRC","Colorectal Cancer","X-0933","CLR457"
"X.0933.enib","X.0933.enib","CRC","Colorectal Cancer","X-0933","encorafenib"
"X.0933.HD01","X.0933.HD01","CRC","Colorectal Cancer","X-0933","HDM201"
"X.0933.LE11","X.0933.LE11","CRC","Colorectal Cancer","X-0933","LEE011"
"X.0933.LF27.biib","X.0933.LF27.biib","CRC","Colorectal Cancer","X-0933","LFW527 + binimetinib"
"X.0933.LJ49","X.0933.LJ49","CRC","Colorectal Cancer","X-0933","LJC049"
"X.0933.LK36","X.0933.LK36","CRC","Colorectal Cancer","X-0933","LKA136"
"X.0933.uned","X.0933.uned","CRC","Colorectal Cancer","X-0933","untreated"
"X.0988.LF27.biib","X.0988.LF27.biib","CRC","Colorectal Cancer","X-0988","LFW527 + binimetinib"
"X.0992.LF27.biib","X.0992.LF27.biib","CRC","Colorectal Cancer","X-0992","LFW527 + binimetinib"
"X.1027.5FFU","X.1027.5FFU","CRC","Colorectal Cancer","X-1027","5FU"
"X.1027.biib","X.1027.biib","CRC","Colorectal Cancer","X-1027","binimetinib"
"X.1027.BK20","X.1027.BK20","CRC","Colorectal Cancer","X-1027","BKM120"
"X.1027.BK20.LJ49","X.1027.BK20.LJ49","CRC","Colorectal Cancer","X-1027","BKM120 + LJC049"
"X.1027.BY19","X.1027.BY19","CRC","Colorectal Cancer","X-1027","BYL719"
"X.1027.BY19.biib","X.1027.BY19.biib","CRC","Colorectal Cancer","X-1027","BYL719 + binimetinib"
"X.1027.BY19.ceab","X.1027.BY19.ceab","CRC","Colorectal Cancer","X-1027","BYL719 + cetuximab"
"X.1027.BY19.ceab.enib","X.1027.BY19.ceab.enib","CRC","Colorectal Cancer","X-1027","BYL719 + cetuximab + encorafenib"
"X.1027.BY19.enib","X.1027.BY19.enib","CRC","Colorectal Cancer","X-1027","BYL719 + encorafenib"
"X.1027.BY19.LJ16","X.1027.BY19.LJ16","CRC","Colorectal Cancer","X-1027","BYL719 + LJM716"
"X.1027.ceab","X.1027.ceab","CRC","Colorectal Cancer","X-1027","cetuximab"
"X.1027.ceab.enib","X.1027.ceab.enib","CRC","Colorectal Cancer","X-1027","cetuximab + encorafenib"
"X.1027.CG97","X.1027.CG97","CRC","Colorectal Cancer","X-1027","CGM097"
"X.1027.CK20","X.1027.CK20","CRC","Colorectal Cancer","X-1027","CKX620"
"X.1027.CL57","X.1027.CL57","CRC","Colorectal Cancer","X-1027","CLR457"
"X.1027.enib","X.1027.enib","CRC","Colorectal Cancer","X-1027","encorafenib"
"X.1027.HD01","X.1027.HD01","CRC","Colorectal Cancer","X-1027","HDM201"
"X.1027.LE11","X.1027.LE11","CRC","Colorectal Cancer","X-1027","LEE011"
"X.1027.LJ49","X.1027.LJ49","CRC","Colorectal Cancer","X-1027","LJC049"
"X.1027.LK36","X.1027.LK36","CRC","Colorectal Cancer","X-1027","LKA136"
"X.1027.uned","X.1027.uned","CRC","Colorectal Cancer","X-1027","untreated"
"X.1055.5FFU","X.1055.5FFU","CRC","Colorectal Cancer","X-1055","5FU"
"X.1055.biib","X.1055.biib","CRC","Colorectal Cancer","X-1055","binimetinib"
"X.1055.BK20","X.1055.BK20","CRC","Colorectal Cancer","X-1055","BKM120"
"X.1055.BK20.LJ49","X.1055.BK20.LJ49","CRC","Colorectal Cancer","X-1055","BKM120 + LJC049"
"X.1055.BY19","X.1055.BY19","CRC","Colorectal Cancer","X-1055","BYL719"
"X.1055.BY19.biib","X.1055.BY19.biib","CRC","Colorectal Cancer","X-1055","BYL719 + binimetinib"
"X.1055.BY19.ceab","X.1055.BY19.ceab","CRC","Colorectal Cancer","X-1055","BYL719 + cetuximab"
"X.1055.BY19.ceab.enib","X.1055.BY19.ceab.enib","CRC","Colorectal Cancer","X-1055","BYL719 + cetuximab + encorafenib"
"X.1055.BY19.enib","X.1055.BY19.enib","CRC","Colorectal Cancer","X-1055","BYL719 + encorafenib"
"X.1055.BY19.LJ16","X.1055.BY19.LJ16","CRC","Colorectal Cancer","X-1055","BYL719 + LJM716"
"X.1055.ceab","X.1055.ceab","CRC","Colorectal Cancer","X-1055","cetuximab"
"X.1055.ceab.enib","X.1055.ceab.enib","CRC","Colorectal Cancer","X-1055","cetuximab + encorafenib"
"X.1055.CG97","X.1055.CG97","CRC","Colorectal Cancer","X-1055","CGM097"
"X.1055.CK20","X.1055.CK20","CRC","Colorectal Cancer","X-1055","CKX620"
"X.1055.CL57","X.1055.CL57","CRC","Colorectal Cancer","X-1055","CLR457"
"X.1055.enib","X.1055.enib","CRC","Colorectal Cancer","X-1055","encorafenib"
"X.1055.HD01","X.1055.HD01","CRC","Colorectal Cancer","X-1055","HDM201"
"X.1055.LE11","X.1055.LE11","CRC","Colorectal Cancer","X-1055","LEE011"
"X.1055.LF27.biib","X.1055.LF27.biib","CRC","Colorectal Cancer","X-1055","LFW527 + binimetinib"
"X.1055.LJ49","X.1055.LJ49","CRC","Colorectal Cancer","X-1055","LJC049"
"X.1055.LK36","X.1055.LK36","CRC","Colorectal Cancer","X-1055","LKA136"
"X.1055.uned","X.1055.uned","CRC","Colorectal Cancer","X-1055","untreated"
"X.1119.5FFU","X.1119.5FFU","CRC","Colorectal Cancer","X-1119","5FU"
"X.1119.biib","X.1119.biib","CRC","Colorectal Cancer","X-1119","binimetinib"
"X.1119.BK20","X.1119.BK20","CRC","Colorectal Cancer","X-1119","BKM120"
"X.1119.BK20.LJ49","X.1119.BK20.LJ49","CRC","Colorectal Cancer","X-1119","BKM120 + LJC049"
"X.1119.BY19","X.1119.BY19","CRC","Colorectal Cancer","X-1119","BYL719"
"X.1119.BY19.biib","X.1119.BY19.biib","CRC","Colorectal Cancer","X-1119","BYL719 + binimetinib"
"X.1119.BY19.ceab","X.1119.BY19.ceab","CRC","Colorectal Cancer","X-1119","BYL719 + cetuximab"
"X.1119.BY19.ceab.enib","X.1119.BY19.ceab.enib","CRC","Colorectal Cancer","X-1119","BYL719 + cetuximab + encorafenib"
